POLICY 1 (STATIC LOCAL)

Samples: 1000
Period: 100 ms
Deadline: 50 ms

Minimum execution time: 25.274 ms
Maximum execution time: 70.753 ms
Average execution time: 34.370 ms
Timing standard deviation: 18.190 ms
Deadline misses: 200
Deadline miss rate: 20.00 %

Baseline Experiment 1 complete

========================================

RAW EXECUTION-TIME DATA
Run,Mode,Execution_Time_us
1,NORMAL,25342
2,NORMAL,25275
3,NORMAL,25274
4,NORMAL,25284
5,NORMAL,25275
6,NORMAL,25274
7,NORMAL,25285
8,NORMAL,25274
9,NORMAL,25275
10,NORMAL,25276
11,NORMAL,25285

UPTO

494,NORMAL,25275
495,NORMAL,25275
496,NORMAL,25275
497,NORMAL,25275
498,NORMAL,25275
499,NORMAL,25275
500,NORMAL,25275
501,CONTENTION,70753 (CONTENTION START)
502,CONTENTION,70751
503,CONTENTION,70751
504,CONTENTION,70751
505,CONTENTION,70751
506,CONTENTION,70751
507,CONTENTION,70751
508,CONTENTION,70751
509,CONTENTION,70751

UPTO

693,CONTENTION,70751
694,CONTENTION,70751
695,CONTENTION,70751
696,CONTENTION,70751
697,CONTENTION,70751
698,CONTENTION,70751
699,CONTENTION,70751
700,CONTENTION,70751 (CONTENTION END)
701,NORMAL,25275
702,NORMAL,25275
703,NORMAL,25275
704,NORMAL,25275
705,NORMAL,25275

UPTO

993,NORMAL,25275
994,NORMAL,25275
995,NORMAL,25275
996,NORMAL,25275
997,NORMAL,25275
998,NORMAL,25275
999,NORMAL,25275
1000,NORMAL,25275

========================================
