
RAW POLICY 2 DATA
Sample,Mode,Main_Time_us,Contention_RTT_us,Offloaded

1,NORMAL,25607,0,NO
2,NORMAL,25540,0,NO
3,NORMAL,25535,0,NO
4,NORMAL,25539,0,NO
5,NORMAL,25548,0,NO
6,NORMAL,25540,0,NO
7,NORMAL,25535,0,NO
8,NORMAL,25539,0,NO
9,NORMAL,25544,0,NO
10,NORMAL,25535,0,NO
11,NORMAL,25539,0,NO
12,NORMAL,25535,0,NO
13,NORMAL,25546,0,NO
14,NORMAL,25535,0,NO
15,NORMAL,25540,0,NO
16,NORMAL,25535,0,NO
17,NORMAL,25543,0,NO
18,NORMAL,25535,0,NO
19,NORMAL,25539,0,NO
20,NORMAL,25550,0,NO
21,NORMAL,25539,0,NO
22,NORMAL,25539,0,NO
23,NORMAL,25535,0,NO
24,NORMAL,25539,0,NO
25,NORMAL,25548,0,NO
.....
UPTO
.....
490,NORMAL,25552,0,NO
491,NORMAL,25540,0,NO
492,NORMAL,25544,0,NO
493,NORMAL,25540,0,NO
494,NORMAL,25540,0,NO
495,NORMAL,25552,0,NO
496,NORMAL,25536,0,NO
497,NORMAL,25536,0,NO
498,NORMAL,25536,0,NO
499,NORMAL,25536,0,NO
500,NORMAL,25543,0,NO
501,CONTENTION,25577,62502,YES ( CONTENTION DETECTED HERE- OFFLOADING BEGIN)
502,CONTENTION,25620,23504,YES
503,CONTENTION,25618,22495,YES
504,CONTENTION,25612,21497,YES
505,CONTENTION,25618,24596,YES
506,CONTENTION,25620,22172,YES
507,CONTENTION,25617,18758,YES
508,CONTENTION,25618,24969,YES
509,CONTENTION,25613,22496,YES
510,CONTENTION,25584,105505,YES
511,CONTENTION,25601,134989,YES
512,CONTENTION,25536,26073,YES
513,CONTENTION,25621,22839,YES
514,CONTENTION,25622,25090,YES
515,CONTENTION,25621,18787,YES
516,CONTENTION,25615,23550,YES
517,CONTENTION,25615,20502,YES
518,CONTENTION,25612,21497,YES
519,CONTENTION,25612,24498,YES
520,CONTENTION,25626,21501,YES
521,CONTENTION,25583,26497,YES
522,CONTENTION,25613,23478,YES
523,CONTENTION,25615,22929,YES
524,CONTENTION,25620,23091,YES
525,CONTENTION,25579,30496,YES
526,CONTENTION,25626,23146,YES
527,CONTENTION,25612,22949,YES
528,CONTENTION,25631,25501,YES
529,CONTENTION,25621,24495,YES
530,CONTENTION,25627,23504,YES
531,CONTENTION,25596,26511,YES
532,CONTENTION,25629,25538,YES
533,CONTENTION,25630,22550,YES
534,CONTENTION,25633,24090,YES
535,CONTENTION,25608,25617,YES
536,CONTENTION,25588,34496,YES
537,CONTENTION,25627,21989,YES
538,CONTENTION,25623,22744,YES
539,CONTENTION,25623,24710,YES
540,CONTENTION,25598,25762,YES
541,CONTENTION,25623,21270,YES
542,CONTENTION,25583,26497,YES
543,CONTENTION,25619,22497,YES
544,CONTENTION,25615,23496,YES
545,CONTENTION,25622,24502,YES
546,CONTENTION,25623,24210,YES
547,CONTENTION,25578,27495,YES
548,CONTENTION,25622,22501,YES
549,CONTENTION,25617,21838,YES
550,CONTENTION,25627,21810,YES
551,CONTENTION,25619,20501,YES
552,CONTENTION,25618,24452,YES
553,CONTENTION,25612,21455,YES
554,CONTENTION,25612,20501,YES
555,CONTENTION,25620,21738,YES
556,CONTENTION,25620,19077,YES
557,CONTENTION,25622,23105,YES
558,CONTENTION,25612,20535,YES
559,CONTENTION,25615,21498,YES
560,CONTENTION,25619,20496,YES
561,CONTENTION,25620,22091,YES
562,CONTENTION,25574,77763,YES
563,CONTENTION,25614,20481,YES
564,CONTENTION,25621,23498,YES
565,CONTENTION,25630,21895,YES
566,CONTENTION,25622,22261,YES
567,CONTENTION,25616,19990,YES
568,CONTENTION,25621,23191,YES
569,CONTENTION,25622,19206,YES
570,CONTENTION,25628,22500,YES
571,CONTENTION,25632,24820,YES
572,CONTENTION,25621,23596,YES
573,CONTENTION,25624,24510,YES
574,CONTENTION,25627,23498,YES
575,CONTENTION,25597,26496,YES
576,CONTENTION,25591,34046,YES
577,CONTENTION,25586,39758,YES
578,CONTENTION,25623,23614,YES
579,CONTENTION,25626,24969,YES
580,CONTENTION,25638,21432,YES
581,CONTENTION,25613,20497,YES
582,CONTENTION,25620,22265,YES
583,CONTENTION,25620,20861,YES
584,CONTENTION,25611,22577,YES
585,CONTENTION,25626,22077,YES
586,CONTENTION,25616,23501,YES
587,CONTENTION,25612,24585,YES
588,CONTENTION,25592,26502,YES
589,CONTENTION,25615,23477,YES
590,CONTENTION,25619,20497,YES
591,CONTENTION,25618,22494,YES
592,CONTENTION,25622,22143,YES
593,CONTENTION,25580,28453,YES
594,CONTENTION,25616,15605,YES
595,CONTENTION,25622,18923,YES
596,CONTENTION,25584,26497,YES
597,CONTENTION,25614,21457,YES
598,CONTENTION,25613,20498,YES
599,CONTENTION,25615,21497,YES
600,CONTENTION,25623,18695,YES
601,CONTENTION,25618,19708,YES
602,CONTENTION,25615,18964,YES
603,CONTENTION,25612,24510,YES
604,CONTENTION,25574,40984,YES
605,CONTENTION,25626,23171,YES
606,CONTENTION,25616,24497,YES
607,CONTENTION,25617,19941,YES
608,CONTENTION,25621,22028,YES
609,CONTENTION,25613,23501,YES
610,CONTENTION,25621,20921,YES
611,CONTENTION,25616,18481,YES
612,CONTENTION,25612,23496,YES
613,CONTENTION,25624,19294,YES
614,CONTENTION,25618,20455,YES
615,CONTENTION,25644,23497,YES
616,CONTENTION,25627,23538,YES
617,CONTENTION,25639,20013,YES
618,CONTENTION,25597,27758,YES
619,CONTENTION,25625,22504,YES
620,CONTENTION,25634,23688,YES
621,CONTENTION,25627,23542,YES
622,CONTENTION,25627,20513,YES
623,CONTENTION,25619,20779,YES
624,CONTENTION,25624,25505,YES
625,CONTENTION,25626,21131,YES
626,CONTENTION,25613,20495,YES
627,CONTENTION,25622,22151,YES
628,CONTENTION,25626,21051,YES
629,CONTENTION,25616,24501,YES
630,CONTENTION,25629,24463,YES
631,CONTENTION,25615,23457,YES
632,CONTENTION,25617,20665,YES
633,CONTENTION,25622,22497,YES
634,CONTENTION,25616,21501,YES
635,CONTENTION,25630,21132,YES
636,CONTENTION,25573,32652,YES
637,CONTENTION,25613,21496,YES
638,CONTENTION,25623,20497,YES
639,CONTENTION,25622,24051,YES
640,CONTENTION,25622,21497,YES
641,CONTENTION,25621,22495,YES
642,CONTENTION,25611,21497,YES
643,CONTENTION,25574,35536,YES
644,CONTENTION,25614,22496,YES
645,CONTENTION,25622,23501,YES
646,CONTENTION,25612,20495,YES
647,CONTENTION,25616,21758,YES
648,CONTENTION,25615,22495,YES
649,CONTENTION,25614,23497,YES
650,CONTENTION,25618,20495,YES
651,CONTENTION,25595,25698,YES
652,CONTENTION,25611,20514,YES
653,CONTENTION,25616,23943,YES
654,CONTENTION,25579,27496,YES
655,CONTENTION,25621,22497,YES
656,CONTENTION,25630,24415,YES
657,CONTENTION,25622,23920,YES
658,CONTENTION,25628,22234,YES
659,CONTENTION,25589,34496,YES
660,CONTENTION,25637,24507,YES
661,CONTENTION,25625,21475,YES
662,CONTENTION,25630,17238,YES
663,CONTENTION,25625,24504,YES
664,CONTENTION,25587,35495,YES
665,CONTENTION,25639,20985,YES
666,CONTENTION,25618,20786,YES
667,CONTENTION,25615,23786,YES
668,CONTENTION,25619,24496,YES
669,CONTENTION,25595,26453,YES
670,CONTENTION,25626,19937,YES
671,CONTENTION,25614,21778,YES
672,CONTENTION,25584,26497,YES
673,CONTENTION,25627,21254,YES
674,CONTENTION,25612,22497,YES
675,CONTENTION,25623,21636,YES
676,CONTENTION,25612,22497,YES
677,CONTENTION,25622,22206,YES
678,CONTENTION,25625,22496,YES
679,CONTENTION,25574,29493,YES
680,CONTENTION,25617,24555,YES
681,CONTENTION,25615,23497,YES
682,CONTENTION,25620,21414,YES
683,CONTENTION,25612,24535,YES
684,CONTENTION,25618,19502,YES
685,CONTENTION,25620,24928,YES
686,CONTENTION,25615,20496,YES
687,CONTENTION,25612,23634,YES
688,CONTENTION,25615,22497,YES
689,CONTENTION,25621,21831,YES
690,CONTENTION,25620,18497,YES
691,CONTENTION,25620,22132,YES
692,CONTENTION,25612,21497,YES
693,CONTENTION,25613,22498,YES
694,CONTENTION,25615,23497,YES
695,CONTENTION,25625,23474,YES
696,CONTENTION,25616,22757,YES
697,CONTENTION,25614,23494,YES
698,CONTENTION,25583,56665,YES
699,CONTENTION,25586,30932,YES
700,CONTENTION,25596,53168,YES (CONTENTION ENDED AFTER THIS- NO OFFLOADING)
701,NORMAL,25540,0,NO
702,NORMAL,25542,0,NO
703,NORMAL,25545,0,NO
704,NORMAL,25540,0,NO
705,NORMAL,25551,0,NO
706,NORMAL,25544,0,NO
707,NORMAL,25542,0,NO
708,NORMAL,25545,0,NO
709,NORMAL,25536,0,NO
710,NORMAL,25544,0,NO
.....
UPTO
.....
990,NORMAL,25543,0,NO
